datetime,temperature_2m,relativehumidity_2m,precipitation,weathercode,windspeed_10m,weather_condition
2025-08-27 00:00:00+07:00,26.0,90,0.0,2,4.6,Partly cloudy
2025-08-27 00:15:00+07:00,26.0,90,0.0,2,4.6,Partly cloudy
2025-08-27 00:30:00+07:00,26.0,90,0.0,2,4.5,Partly cloudy
2025-08-27 00:45:00+07:00,25.9,90,0.0,2,4.1,Partly cloudy
2025-08-27 01:00:00+07:00,25.9,90,0.0,2,4.1,Partly cloudy
2025-08-27 01:15:00+07:00,25.8,90,0.0,2,4.1,Partly cloudy
2025-08-27 01:30:00+07:00,25.8,91,0.0,2,4.1,Partly cloudy
2025-08-27 01:45:00+07:00,25.7,91,0.0,2,3.8,Partly cloudy
2025-08-27 02:00:00+07:00,25.6,91,0.0,2,3.8,Partly cloudy
2025-08-27 02:15:00+07:00,25.6,91,0.0,3,3.4,Overcast
2025-08-27 02:30:00+07:00,25.5,91,0.0,3,3.1,Overcast
2025-08-27 02:45:00+07:00,25.5,91,0.0,3,3.2,Overcast
2025-08-27 03:00:00+07:00,25.5,91,0.0,3,2.9,Overcast
2025-08-27 03:15:00+07:00,25.4,91,0.0,3,2.9,Overcast
2025-08-27 03:30:00+07:00,25.4,91,0.0,3,3.1,Overcast
2025-08-27 03:45:00+07:00,25.3,92,0.0,3,3.1,Overcast
2025-08-27 04:00:00+07:00,25.3,92,0.0,3,3.3,Overcast
2025-08-27 04:15:00+07:00,25.2,92,0.0,3,3.6,Overcast
2025-08-27 04:30:00+07:00,25.2,93,0.0,3,3.6,Overcast
2025-08-27 04:45:00+07:00,25.1,93,0.0,3,3.8,Overcast
2025-08-27 05:00:00+07:00,25.1,93,0.0,3,3.8,Overcast
2025-08-27 05:15:00+07:00,25.0,93,0.0,2,3.8,Partly cloudy
2025-08-27 05:30:00+07:00,25.0,94,0.0,2,3.8,Partly cloudy
2025-08-27 05:45:00+07:00,25.0,94,0.0,2,4.3,Partly cloudy
2025-08-27 06:00:00+07:00,25.0,94,0.0,2,4.3,Partly cloudy
2025-08-27 06:15:00+07:00,25.1,94,0.0,2,4.6,Partly cloudy
2025-08-27 06:30:00+07:00,25.3,93,0.0,2,4.6,Partly cloudy
2025-08-27 06:45:00+07:00,25.5,93,0.0,2,5.1,Partly cloudy
2025-08-27 07:00:00+07:00,25.8,92,0.0,2,5.6,Partly cloudy
2025-08-27 07:15:00+07:00,26.1,91,0.0,3,6.6,Overcast
2025-08-27 07:30:00+07:00,26.5,89,0.0,3,7.9,Overcast
2025-08-27 07:45:00+07:00,27.0,88,0.0,3,9.2,Overcast
2025-08-27 08:00:00+07:00,27.4,86,0.0,3,10.3,Overcast
2025-08-27 08:15:00+07:00,27.6,85,0.1,80,10.9,Rain showers: Slight
2025-08-27 08:30:00+07:00,27.9,83,0.1,80,11.0,Rain showers: Slight
2025-08-27 08:45:00+07:00,28.1,82,0.1,80,11.1,Rain showers: Slight
2025-08-27 09:00:00+07:00,28.4,80,0.1,80,11.3,Rain showers: Slight
2025-08-27 09:15:00+07:00,28.8,79,0.0,3,11.4,Overcast
2025-08-27 09:30:00+07:00,29.1,77,0.0,3,11.8,Overcast
2025-08-27 09:45:00+07:00,29.6,76,0.0,3,12.0,Overcast
