branch,address,latitude,longitude,district,forecast_day,summary_text
BÌNH PHÚ,"31 BÌNH PHÚ, PHƯỜNG 10, Quận 6",10.740597,106.629426,Quận 6,hôm nay,"Dự báo cho BÌNH PHÚ (Quận 6) hôm nay: Có khả năng mưa vào các giờ: 12, 14, 18."
CÁCH MẠNG THÁNG 8,129A CMT8 PHƯỜNG 5 Quận 3,10.774605,106.68866,Quận 3,hôm nay,"Dự báo cho CÁCH MẠNG THÁNG 8 (Quận 3) hôm nay: Có khả năng mưa vào các giờ: 12, 14, 18."
CẦU CHỮ Y,"147 DẠ NAM PHƯỜNG 3, Quận 8",10.748389,106.684143,Quận 8,hôm nay,"Dự báo cho CẦU CHỮ Y (Quận 8) hôm nay: Có khả năng mưa vào các giờ: 12, 14, 18."
DƯƠNG BÁ TRẠC,"456 DƯƠNG BÁ TRẠC, PHƯỜNG 2, Quận 8",10.742274,106.688462,Quận 8,hôm nay,"Dự báo cho DƯƠNG BÁ TRẠC (Quận 8) hôm nay: Có khả năng mưa vào các giờ: 12, 14, 18."
HOÀNG DIỆU 2,"66G Hoàng Diệu 2, Phường Linh Chiểu, TP Thủ Đức",10.8537916,106.7665237,TP Thủ Đức,hôm nay,"Dự báo cho HOÀNG DIỆU 2 (TP Thủ Đức) hôm nay: Có khả năng mưa vào các giờ: 10, 15, 16, 18, 22."
LÊ VĂN VIỆT,140 LÊ VĂN VIỆT PHƯỜNG HIỆP PHÚ TP Thủ Đức,10.845833,106.779966,TP Thủ Đức,hôm nay,"Dự báo cho LÊ VĂN VIỆT (TP Thủ Đức) hôm nay: Có khả năng mưa vào các giờ: 10, 15, 16, 18, 22."
MẠC ĐỈNH CHI,90 MẠC ĐỈNH CHI PHƯỜNG ĐA KAO Quận 1,10.788501,106.696116,Quận 1,hôm nay,"Dự báo cho MẠC ĐỈNH CHI (Quận 1) hôm nay: Có khả năng mưa vào các giờ: 12, 14, 18."
NGUYỄN SƠN,"38 NGUYỄN SƠN PHƯỜNG PHÚ THỌ HÒA, Quận Tân Phú",10.781639,106.632747,Tân Phú,hôm nay,"Dự báo cho NGUYỄN SƠN (Tân Phú) hôm nay: Có khả năng mưa vào các giờ: 12, 14, 18."
NGUYỄN TRI PHƯƠNG,465 NGUYỄN TRI PHƯƠNG PHƯỜNG 4 Quận 10,10.764613,106.667717,Quận 10,hôm nay,"Dự báo cho NGUYỄN TRI PHƯƠNG (Quận 10) hôm nay: Có khả năng mưa vào các giờ: 12, 14, 18."
NGUYỄN TRÃI,878 NGUYỄN TRÃI PHƯỜNG 14 Quận 5,10.754868,106.667671,Quận 5,hôm nay,"Dự báo cho NGUYỄN TRÃI (Quận 5) hôm nay: Có khả năng mưa vào các giờ: 12, 14, 18."
NHỊ THIÊN ĐƯỜNG,260 QUỐC LỘ 50 PHƯỜNG 6 Quận 8,10.734967,106.656078,Quận 8,hôm nay,"Dự báo cho NHỊ THIÊN ĐƯỜNG (Quận 8) hôm nay: Có khả năng mưa vào các giờ: 12, 14, 18."
PHAN CHU TRINH,39-41 PHAN CHU TRINH PHƯỜNG 14 Quận Bình Thạnh,10.804464,106.701516,Bình Thạnh,hôm nay,"Dự báo cho PHAN CHU TRINH (Bình Thạnh) hôm nay: Có khả năng mưa vào các giờ: 12, 14, 18."
PHAN XÍCH LONG,266-268-270 PHAN XÍCH LONG PHƯỜNG 7 Quận Phú Nhuận,10.797366,106.691138,Phú Nhuận,hôm nay,"Dự báo cho PHAN XÍCH LONG (Phú Nhuận) hôm nay: Có khả năng mưa vào các giờ: 12, 14, 18."
SƯ VẠN HẠNH,"644 Đ. SƯ VẠN HẠNH, PHƯỜNG 12, Quận 10.",10.7701407,106.6706353,Quận 10,hôm nay,"Dự báo cho SƯ VẠN HẠNH (Quận 10) hôm nay: Có khả năng mưa vào các giờ: 12, 14, 18."
THÀNH THÁI,120 THÀNH THÁI PHƯỜNG 12 Quận 10,10.77476,106.664455,Quận 10,hôm nay,"Dự báo cho THÀNH THÁI (Quận 10) hôm nay: Có khả năng mưa vào các giờ: 12, 14, 18."
TRẦN BÌNH TRỌNG,177 TRẦN BÌNH TRỌNG PHƯỜNG 3 Quận 5,10.758832,106.680514,Quận 5,hôm nay,"Dự báo cho TRẦN BÌNH TRỌNG (Quận 5) hôm nay: Có khả năng mưa vào các giờ: 12, 14, 18."
TRẦN NÃO,18 TRẦN NÃO PHƯỜNG BÌNH AN Quận 2,10.793933,106.730746,Quận 2,hôm nay,"Dự báo cho TRẦN NÃO (Quận 2) hôm nay: Có khả năng mưa vào các giờ: 12, 14, 18."
TÔ KÝ,"B74 BIS, TÔ KÝ, ĐÔNG HƯNG THUẬN, Quận 12",10.850219,106.632033,Quận 12,hôm nay,"Dự báo cho TÔ KÝ (Quận 12) hôm nay: Có khả năng mưa vào các giờ: 12, 14, 18."
UNG VĂN KHIÊM,KARAOKE ICOOL 122 UNG VĂN KHIÊM PHƯỜNG 25 Quận Bình Thạnh,10.807294,106.718231,Bình Thạnh,hôm nay,"Dự báo cho UNG VĂN KHIÊM (Bình Thạnh) hôm nay: Có khả năng mưa vào các giờ: 12, 14, 18."
VŨNG TÀU,"130 HOÀNG HOA THÁM P2, TP Vũng Tàu",10.337067,107.085835,TP Vũng Tàu,hôm nay,"Dự báo cho VŨNG TÀU (TP Vũng Tàu) hôm nay: Có khả năng mưa vào các giờ: 09, 10, 15, 18, 22, 23."
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,hôm nay,"Dự báo cho XÔ VIẾT NGHỆ TĨNH (Bình Thạnh) hôm nay: Có khả năng mưa vào các giờ: 12, 14, 18."
ĐẠI LỘ 2,"168 ICOOL ĐẠI LỘ 2 PHƯỜNG PHƯỚC BÌNH, TP Thủ Đức",10.780672,106.7122688,TP Thủ Đức,hôm nay,"Dự báo cho ĐẠI LỘ 2 (TP Thủ Đức) hôm nay: Có khả năng mưa vào các giờ: 10, 15, 16, 18, 22."
ĐỒNG ĐEN,124A ĐỒNG ĐEN PHƯỜNG 14 Quận Tân Bình,10.792324,106.664003,Tân Bình,hôm nay,"Dự báo cho ĐỒNG ĐEN (Tân Bình) hôm nay: Có khả năng mưa vào các giờ: 12, 14, 18."
BÌNH PHÚ,"31 BÌNH PHÚ, PHƯỜNG 10, Quận 6",10.740597,106.629426,Quận 6,ngày mai,"Dự báo cho BÌNH PHÚ (Quận 6) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 15, 18, 20, 23."
CÁCH MẠNG THÁNG 8,129A CMT8 PHƯỜNG 5 Quận 3,10.774605,106.68866,Quận 3,ngày mai,"Dự báo cho CÁCH MẠNG THÁNG 8 (Quận 3) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 15, 18, 20, 23."
CẦU CHỮ Y,"147 DẠ NAM PHƯỜNG 3, Quận 8",10.748389,106.684143,Quận 8,ngày mai,"Dự báo cho CẦU CHỮ Y (Quận 8) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 15, 18, 20, 23."
DƯƠNG BÁ TRẠC,"456 DƯƠNG BÁ TRẠC, PHƯỜNG 2, Quận 8",10.742274,106.688462,Quận 8,ngày mai,"Dự báo cho DƯƠNG BÁ TRẠC (Quận 8) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 15, 18, 20, 23."
HOÀNG DIỆU 2,"66G Hoàng Diệu 2, Phường Linh Chiểu, TP Thủ Đức",10.8537916,106.7665237,TP Thủ Đức,ngày mai,"Dự báo cho HOÀNG DIỆU 2 (TP Thủ Đức) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 17, 18, 22."
LÊ VĂN VIỆT,140 LÊ VĂN VIỆT PHƯỜNG HIỆP PHÚ TP Thủ Đức,10.845833,106.779966,TP Thủ Đức,ngày mai,"Dự báo cho LÊ VĂN VIỆT (TP Thủ Đức) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 17, 18, 22."
MẠC ĐỈNH CHI,90 MẠC ĐỈNH CHI PHƯỜNG ĐA KAO Quận 1,10.788501,106.696116,Quận 1,ngày mai,"Dự báo cho MẠC ĐỈNH CHI (Quận 1) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 15, 18, 20, 23."
NGUYỄN SƠN,"38 NGUYỄN SƠN PHƯỜNG PHÚ THỌ HÒA, Quận Tân Phú",10.781639,106.632747,Tân Phú,ngày mai,"Dự báo cho NGUYỄN SƠN (Tân Phú) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 15, 18, 20, 23."
NGUYỄN TRI PHƯƠNG,465 NGUYỄN TRI PHƯƠNG PHƯỜNG 4 Quận 10,10.764613,106.667717,Quận 10,ngày mai,"Dự báo cho NGUYỄN TRI PHƯƠNG (Quận 10) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 15, 18, 20, 23."
NGUYỄN TRÃI,878 NGUYỄN TRÃI PHƯỜNG 14 Quận 5,10.754868,106.667671,Quận 5,ngày mai,"Dự báo cho NGUYỄN TRÃI (Quận 5) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 15, 18, 20, 23."
NHỊ THIÊN ĐƯỜNG,260 QUỐC LỘ 50 PHƯỜNG 6 Quận 8,10.734967,106.656078,Quận 8,ngày mai,"Dự báo cho NHỊ THIÊN ĐƯỜNG (Quận 8) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 15, 18, 20, 23."
PHAN CHU TRINH,39-41 PHAN CHU TRINH PHƯỜNG 14 Quận Bình Thạnh,10.804464,106.701516,Bình Thạnh,ngày mai,"Dự báo cho PHAN CHU TRINH (Bình Thạnh) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 15, 18, 20, 23."
PHAN XÍCH LONG,266-268-270 PHAN XÍCH LONG PHƯỜNG 7 Quận Phú Nhuận,10.797366,106.691138,Phú Nhuận,ngày mai,"Dự báo cho PHAN XÍCH LONG (Phú Nhuận) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 15, 18, 20, 23."
SƯ VẠN HẠNH,"644 Đ. SƯ VẠN HẠNH, PHƯỜNG 12, Quận 10.",10.7701407,106.6706353,Quận 10,ngày mai,"Dự báo cho SƯ VẠN HẠNH (Quận 10) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 15, 18, 20, 23."
THÀNH THÁI,120 THÀNH THÁI PHƯỜNG 12 Quận 10,10.77476,106.664455,Quận 10,ngày mai,"Dự báo cho THÀNH THÁI (Quận 10) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 15, 18, 20, 23."
TRẦN BÌNH TRỌNG,177 TRẦN BÌNH TRỌNG PHƯỜNG 3 Quận 5,10.758832,106.680514,Quận 5,ngày mai,"Dự báo cho TRẦN BÌNH TRỌNG (Quận 5) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 15, 18, 20, 23."
TRẦN NÃO,18 TRẦN NÃO PHƯỜNG BÌNH AN Quận 2,10.793933,106.730746,Quận 2,ngày mai,"Dự báo cho TRẦN NÃO (Quận 2) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 15, 18, 20, 23."
TÔ KÝ,"B74 BIS, TÔ KÝ, ĐÔNG HƯNG THUẬN, Quận 12",10.850219,106.632033,Quận 12,ngày mai,"Dự báo cho TÔ KÝ (Quận 12) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 15, 18, 20, 23."
UNG VĂN KHIÊM,KARAOKE ICOOL 122 UNG VĂN KHIÊM PHƯỜNG 25 Quận Bình Thạnh,10.807294,106.718231,Bình Thạnh,ngày mai,"Dự báo cho UNG VĂN KHIÊM (Bình Thạnh) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 15, 18, 20, 23."
VŨNG TÀU,"130 HOÀNG HOA THÁM P2, TP Vũng Tàu",10.337067,107.085835,TP Vũng Tàu,ngày mai,"Dự báo cho VŨNG TÀU (TP Vũng Tàu) ngày mai: Có khả năng mưa vào các giờ: 01, 08, 10, 14, 15, 18."
XÔ VIẾT NGHỆ TĨNH,"693 XÔ VIẾT NGHỆ TĨNH , PHƯỜNG 26, Quận Bình Thạnh",10.812628,106.715197,Bình Thạnh,ngày mai,"Dự báo cho XÔ VIẾT NGHỆ TĨNH (Bình Thạnh) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 15, 18, 20, 23."
ĐẠI LỘ 2,"168 ICOOL ĐẠI LỘ 2 PHƯỜNG PHƯỚC BÌNH, TP Thủ Đức",10.780672,106.7122688,TP Thủ Đức,ngày mai,"Dự báo cho ĐẠI LỘ 2 (TP Thủ Đức) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 17, 18, 22."
ĐỒNG ĐEN,124A ĐỒNG ĐEN PHƯỜNG 14 Quận Tân Bình,10.792324,106.664003,Tân Bình,ngày mai,"Dự báo cho ĐỒNG ĐEN (Tân Bình) ngày mai: Có khả năng mưa vào các giờ: 08, 09, 15, 18, 20, 23."
BÌNH PHÚ,"31 BÌNH PHÚ, PHƯỜNG 10, Quận 6",10.740597,106.629426,Quận 6,2 ngày tới,"Dự báo cho BÌNH PHÚ (Quận 6) 2 ngày tới: Có khả năng mưa vào các giờ: 09, 10, 11, 13, 18."
CÁCH MẠNG THÁNG 8,129A CMT8 PHƯỜNG 5 Quận 3,10.774605,106.68866,Quận 3,2 ngày tới,"Dự báo cho CÁCH MẠNG THÁNG 8 (Quận 3) 2 ngày tới: Có khả năng mưa vào các giờ: 09, 10, 11, 13, 18."
CẦU CHỮ Y,"147 DẠ NAM PHƯỜNG 3, Quận 8",10.748389,106.684143,Quận 8,2 ngày tới,"Dự báo cho CẦU CHỮ Y (Quận 8) 2 ngày tới: Có khả năng mưa vào các giờ: 09, 10, 11, 13, 18."
DƯƠNG BÁ TRẠC,"456 DƯƠNG BÁ TRẠC, PHƯỜNG 2, Quận 8",10.742274,106.688462,Quận 8,2 ngày tới,"Dự báo cho DƯƠNG BÁ TRẠC (Quận 8) 2 ngày tới: Có khả năng mưa vào các giờ: 09, 10, 11, 13, 18."
HOÀNG DIỆU 2,"66G Hoàng Diệu 2, Phường Linh Chiểu, TP Thủ Đức",10.8537916,106.7665237,TP Thủ Đức,2 ngày tới,"Dự báo cho HOÀNG DIỆU 2 (TP Thủ Đức) 2 ngày tới: Có khả năng mưa vào các giờ: 01, 02, 07, 08, 10, 15, 18."
LÊ VĂN VIỆT,140 LÊ VĂN VIỆT PHƯỜNG HIỆP PHÚ TP Thủ Đức,10.845833,106.779966,TP Thủ Đức,2 ngày tới,"Dự báo cho LÊ VĂN VIỆT (TP Thủ Đức) 2 ngày tới: Có khả năng mưa vào các giờ: 01, 02, 07, 08, 10, 15, 18."
MẠC ĐỈNH CHI,90 MẠC ĐỈNH CHI PHƯỜNG ĐA KAO Quận 1,10.788501,106.696116,Quận 1,2 ngày tới,"Dự báo cho MẠC ĐỈNH CHI (Quận 1) 2 ngày tới: Có khả năng mưa vào các giờ: 09, 10, 11, 13, 18."
NGUYỄN SƠN,"38 NGUYỄN SƠN PHƯỜNG PHÚ THỌ HÒA, Quận Tân Phú",10.781639,106.632747,Tân Phú,2 ngày tới,"Dự báo cho NGUYỄN SƠN (Tân Phú) 2 ngày tới: Có khả năng mưa vào các giờ: 09, 10, 11, 13, 18."
NGUYỄN TRI PHƯƠNG,465 NGUYỄN TRI PHƯƠNG PHƯỜNG 4 Quận 10,10.764613,106.667717,Quận 10,2 ngày tới,"Dự báo cho NGUYỄN TRI PHƯƠNG (Quận 10) 2 ngày tới: Có khả năng mưa vào các giờ: 09, 10, 11, 13, 18."
NGUYỄN TRÃI,878 NGUYỄN TRÃI PHƯỜNG 14 Quận 5,10.754868,106.667671,Quận 5,2 ngày tới,"Dự báo cho NGUYỄN TRÃI (Quận 5) 2 ngày tới: Có khả năng mưa vào các giờ: 09, 10, 11, 13, 18."
NHỊ THIÊN ĐƯỜNG,260 QUỐC LỘ 50 PHƯỜNG 6 Quận 8,10.734967,106.656078,Quận 8,2 ngày tới,"Dự báo cho NHỊ THIÊN ĐƯỜNG (Quận 8) 2 ngày tới: Có khả năng mưa vào các giờ: 09, 10, 11, 13, 18."
PHAN CHU TRINH,39-41 PHAN CHU TRINH PHƯỜNG 14 Quận Bình Thạnh,10.804464,106.701516,Bình Thạnh,2 ngày tới,"Dự báo cho PHAN CHU TRINH (Bình Thạnh) 2 ngày tới: Có khả năng mưa vào các giờ: 09, 10, 11, 13, 18."
PHAN XÍCH LONG,266-268-270 PHAN XÍCH LONG PHƯỜNG 7 Quận Phú Nhuận,10.797366,106.691138,Phú Nhuận,2 ngày tới,"Dự báo cho PHAN XÍCH LONG (Phú Nhuận) 2 ngày tới: Có khả năng mưa vào các giờ: 09, 10, 11, 13, 18."
SƯ VẠN HẠNH,"644 Đ. SƯ VẠN HẠNH, PHƯỜNG 12, Quận 10.",10.7701407,106.6706353,Quận 10,2 ngày tới,"Dự báo cho SƯ VẠN HẠNH (Quận 10) 2 ngày tới: Có khả năng mưa vào các giờ: 09, 10, 11, 13, 18."
THÀNH THÁI,120 THÀNH THÁI PHƯỜNG 12 Quận 10,10.77476,106.664455,Quận 10,2 ngày tới,"Dự báo cho THÀNH THÁI (Quận 10) 2 ngày tới: Có khả năng mưa vào các giờ: 09, 10, 11, 13, 18."
TRẦN BÌNH TRỌNG,177 TRẦN BÌNH TRỌNG PHƯỜNG 3 Quận 5,10.758832,106.680514,Quận 5,2 ngày tới,"Dự báo cho TRẦN BÌNH TRỌNG (Quận 5) 2 ngày tới: Có khả năng mưa vào các giờ: 09, 10, 11, 13, 18."
TRẦN NÃO,18 TRẦN NÃO PHƯỜNG BÌNH AN Quận 2,10.793933,106.730746,Quận 2,2 ngày tới,"Dự báo cho TRẦN NÃO (Quận 2) 2 ngày tới: Có khả năng mưa vào các giờ: 09, 10, 11, 13, 18."
